BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE
Brokered by RE MAX Elite,House for sale,585000,3,2,1008,94 Walker St,"Staten Island, NY 10302"
Brokered by COMPASS,Co-op for sale,579000,2,1,2184.207862,34-41 85th St Unit 3O,"Jackson Heights, NY 11372"
Brokered by PULLINI REALTY CORP.,Multi-family home for sale,499000,3,3,2184.207862,921 E 84th St,"Brooklyn, NY 11236"
Brokered by Jason Mitchell Real Estate New York,Contingent,350000,3,2,1137,145 Lincoln Ave Apt 3J,"Staten Island, NY 10306"
Brokered by COMPASS,House for sale,1250000,3,2,2072,89 Nixon Ave,"Staten Island, NY 10304"
Brokered by Winzone Realty Inc,Multi-family home for sale,899000,4,3,2184.207862,104-40 Alstyne Ave,"Corona, NY 11368"
Brokered by COMPASS,Townhouse for sale,1979000,5,2.373860858,3150,185 Weirfield St,"Brooklyn, NY 11221"
Brokered by Momentum Real Estate Llc,House for sale,599000,3,2,780,459 Raritan Ave,"Staten Island, NY 10305"
"Brokered by Tom Crimmins Realty, Ltd.",House for sale,779000,4,2,2188,122 Hamilton Ave,"Staten Island, NY 10301"
Brokered by Corcoran Park Avenue South,Townhouse for sale,25000000,6,6,2184.207862,29 E 63rd St,"New York, NY 10065"
Brokered by Jason Mitchell Real Estate New York,Contingent,350000,3,2,1137,145 Lincoln Ave Apt 3J,"Staten Island, NY 10306"
Brokered by Winzone Realty Inc,Multi-family home for sale,899000,4,3,2184.207862,104-40 Alstyne Ave,"Corona, NY 11368"
Brokered by Corcoran East Side,Co-op for sale,1195000,2,2,2184.207862,24 W 83rd St Apt 5R,"New York, NY 10024"
Brokered by COMPASS,Condo for sale,1995000,2,3,1838,298 E 2nd St Apt 4,"Manhattan, NY 10009"
Brokered by TOP NEST INC,Co-op for sale,564900,1,1,769,215 Adams St Apt 10B,"Brooklyn, NY 11201"
Brokered by Corcoran West Side,Multi-family home for sale,1250000,6,4,2184.207862,85 Arlington Ave,"Brooklyn, NY 11207"
Brokered by Corcoran Chelsea/Flatiron,Condo for sale,15000000,4,4,2184.207862,70 W 45th St Ph 2,"New York, NY 10036"
Brokered by Tapestry Real Estate of Queens,Multi-family home for sale,1399000,4,3,2283,31-53 45 St,"Astoria, NY 11103"
"Brokered by Robert Defalco Realty, Inc.",House for sale,1250000,4,2,3160,1841 Richmond Rd,"Staten Island, NY 10306"
"Brokered by CORE Group Marketing, LLC",Co-op for sale,335000,1,1,2184.207862,33-15 81st St Unit 6B,"Queens, NY 11372"
Brokered by Exp Realty,Multi-family home for sale,685000,4,2,2000,884 E 161st St,"Bronx, NY 10459"
Brokered by Boroughs Realty Llc,Co-op for sale,279999,2,1,666,3235 Emmons Ave Apt 120,"Brooklyn, NY 11235"
Brokered by Charles Rutenberg Realty Inc,Co-op for sale,418000,2,1,2184.207862,94-11 69 Ave Unit 307,"Forest Hills, NY 11375"
Brokered by Century Homes Realty Group LLC,Multi-family home for sale,1780000,10,7,2184.207862,41-59 70th St,"Woodside, NY 11377"
Brokered by Keller Williams NYC,Condo for sale,520000,2,1,741,105 Bennett Ave Unit 54B,"New York, NY 10033"
Brokered by NextHome Prestige,House for sale,599900,3,2,1248,9 Lovell Ave Unit A,"Staten Island, NY 10314"
Brokered by Douglas Elliman - 3544 Johnson Ave,Multi-family home for sale,885000,6,5,2680,933 Fteley Ave,"Bronx, NY 10473"
Brokered by CITI STAR REALTY,Co-op for sale,258000,1,1,650,601 Brightwater Ct Apt 5L,"Brooklyn, NY 11235"
Brokered by Apple Realty Group Corp,Condo for sale,700000,2,2,1124,168-03 Powells Cove Blvd Unit 14,"Whitestone, NY 11357"
Brokered by Douglas Elliman - 575 Madison Ave,Multi-family home for sale,25750000,6,6,2184.207862,17 E 76th St,"New York, NY 10021"
Brokered by Charles Rutenberg Realty Inc,House for sale,999000,4,3,2184.207862,78-27 268th St,"Glen Oaks, NY 11004"
"Brokered by Plaza Island Properties, LLC",Contingent,898000,3,1,2744,23 Bancroft Ave,"Staten Island, NY 10306"
Brokered by COMPASS,Condo for sale,500000,1,1,720,232 E 118th St Apt 5B,"Manhattan, NY 10035"
Brokered by Corcoran Brooklyn Heights,House for sale,695000,3,2,1926,696 Autumn Ave,"Brooklyn, NY 11208"
Brokered by Realty Quest New York Inc,Co-op for sale,215000,3,1,2184.207862,6115 97th St Apt Le,"Rego Park, NY 11374"
Brokered by Laffey Real Estate,House for sale,759000,3,1,2184.207862,71-31 66th Rd,"Middle Village, NY 11379"
Brokered by Serhant,Co-op for sale,375000,1,1,1185,10 Bay Street Lndg Apt 1I,"Staten Island, NY 10301"
Brokered by Coldwell Banker American Homes,Multi-family home for sale,2700000,24,24,18936,3520 Newkirk Ave Unit 24,"Brooklyn, NY 11203"
Brokered by Corcoran Williamsburg Bedford,Pending,2100000,3,2,1902,76 Powers St,"Brooklyn, NY 11211"
Brokered by Exp Realty,Co-op for sale,389888,1,1,730,37-30 73rd St Unit 5D,"Jackson Heights, NY 11372"
Brokered by RE MAX Edge,Co-op for sale,285000,1,1,900,2815 Ocean Pkwy Apt 3F,"Brooklyn, NY 11235"
Brokered by Brown Harris Stevens,Co-op for sale,2795000,4,2,2184.207862,801 W End Ave Apt 2A,"Manhattan, NY 10025"
Brokered by Matias Real Estate,Condo for sale,674999,3,1,1299,90 Bay Street Lndg Apt 6K,"Staten Island, NY 10301"
Brokered by Serhant,Townhouse for sale,12995000,4,4,5608,129 E 70th St,"New York, NY 10021"
Brokered by BERGEN BASIN REALTY,House for sale,759000,3,2,1260,2044 E 67th St,"Brooklyn, NY 11234"
Brokered by Brown Harris Stevens,Condo for sale,995000,2,2,1030,575 4th Ave Apt 2A,"Brooklyn, NY 11215"
Brokered by Adamo Real Estate,Co-op for sale,229000,1,1,2184.207862,3025 Ocean Ave Apt 6H,"Brooklyn, NY 11235"
"Brokered by Robert E. Hill, Inc.",Co-op for sale,239000,1,1,800,3017 Riverdale Ave Apt 3C,"Bronx, NY 10463"
Brokered by COMPASS,Co-op for sale,315000,2,1,2184.207862,5 E 131st St Apt 3A,"Manhattan, NY 10037"
Brokered by Classic Homes and Properties,House for sale,1100000,5,3,2192,85-11 164th Ave,"Howard Beach, NY 11414"
Brokered by Halvatzis Realty Inc,Co-op for sale,225000,1,1,2184.207862,21-68 35th St Unit 5D,"Astoria, NY 11105"
Brokered by Jadestone Development Realty Llc,House for sale,868000,3,2,1484,212 Hunter Ave,"Staten Island, NY 10306"
Brokered by Century Homes Realty Group LLC,Multi-family home for sale,1380000,5,3,2184.207862,31-32 100th St,"East Elmhurst, NY 11369"
Brokered by New Home Connections Inc.,House for sale,1100000,4,2,1800,7372 Amboy Rd,"Staten Island, NY 10307"
Brokered by COMPASS,Co-op for sale,865000,1,1,2184.207862,407 Park Ave S Apt 11D,"Manhattan, NY 10016"
Brokered by COMPASS,Pending,1895000,3,2,1230,47 Bridge St Apt 3C,"Brooklyn, NY 11201"
Brokered by Berns Agency,House for sale,749000,3,2,1800,93 Gower St,"Staten Island, NY 10314"
Brokered by RE MAX Distinguished Homes & Properties,Multi-family home for sale,775000,5,2,1600,2951 Harding Ave,"Bronx, NY 10465"
Brokered by Corcoran West Side,Co-op for sale,2395000,2,2,1650,320 E 57th St # E,"New York, NY 10022"
Brokered by RE MAX Real Estate Professionals,Multi-family home for sale,2300000,8,6,4000,123 Bay 10th St,"Brooklyn, NY 11228"
Brokered by Keller Williams NYC,Condo for sale,700000,1,2,900,138 Edgecombe Avenue Gdn Unit 1A,"New York, NY 10030"
Brokered by RE MAX Distinguished Homes & Properties,Multi-family home for sale,775000,5,2,1600,2951 Harding Ave,"Bronx, NY 10465"
Brokered by Berns Agency,House for sale,749000,3,2,1800,93 Gower St,"Staten Island, NY 10314"
Brokered by Corcoran Park Slope,Condo for sale,450000,3,1,494,4907 4th Ave Apt 3C,"Brooklyn, NY 11220"
Brokered by COMPASS,Co-op for sale,865000,1,1,2184.207862,407 Park Ave S Apt 11D,"Manhattan, NY 10016"
Brokered by COMPASS,Co-op for sale,280000,3,1,2184.207862,431 E 82nd St Apt 1A,"Manhattan, NY 10028"
Brokered by New Home Connections Inc.,House for sale,1100000,4,2,1800,7372 Amboy Rd,"Staten Island, NY 10307"
Brokered by COMPASS,Pending,1895000,3,2,1230,47 Bridge St Apt 3C,"Brooklyn, NY 11201"
Brokered by Serhant,Condo for sale,3890000,3,4,2446,219 E 44th St Unit 31,"New York, NY 10017"
Brokered by TDMT - The Development Marketing Team,Pending,560000,2,1,2184.207862,345 Bedford Ave Apt D2,"Brooklyn, NY 11211"
Brokered by Keller Williams Realty Greater Nassau,Co-op for sale,198000,1,1,2184.207862,65-15 Alderton St Unit 1A,"Rego Park, NY 11374"
Brokered by Coldwell Banker Advantage,House for sale,1099000,3,2,1092,8 Piedmont Ave,"Staten Island, NY 10305"
Brokered by DIGS - Digs Realty Group EMAIL),Co-op for sale,779000,1,1,800,321 W 90th St Apt 8D,"New York, NY 10024"
Brokered by RE MAX Real Estate Professionals,Multi-family home for sale,1880000,5,2,1850,6820 17th Ave,"Brooklyn, NY 11204"
Brokered by EXIT REALTY PRIVATE CLIENT,House for sale,509000,3,1,1100,3054 Lawton Ave,"Bronx, NY 10465"
"Brokered by Nest Seekers International, Midtown",Condo for sale,499000,1,1,845,2068 Ocean Ave Apt 2B,"Brooklyn, NY 11230"
Brokered by RE/MAX City Square,Co-op for sale,204888,3,1,2184.207862,67-12 Yellowstone Blvd Unit G16,"Forest Hills, NY 11375"
Brokered by CENTURY 21 ROYAL,Multi-family home for sale,1499000,8,3,3300,713 E 239th St,"Bronx, NY 10466"
Brokered by Piastro Realty LLC,House for sale,1295000,8,3,3050,3043 Brighton 14 St,"Brooklyn, NY 11235"
Brokered by COMPASS,Co-op for sale,7500000,3,2.373860858,6000,515 Broadway Apt 2B,"Manhattan, NY 10012"
"Brokered by EXP REALTY, LLC",Condo for sale,395000,1,1,519,70-13 Park Dr Unit A,"Queens, NY 11367"
Brokered by RITZ REALTY NY CORP.,Multi-family home for sale,760000,4,2,1490,446 Clifton Ave,"Staten Island, NY 10305"
Brokered by Jamie & Connie Real Estate Grp,House for sale,988000,4,3,1552,158-34 75th Ave,"Flushing, NY 11366"
Brokered by B Square Realty,Condo for sale,528000,2,1,753,69-88 136th St Unit B,"Flushing, NY 11367"
Brokered by RE MAX Edge,Multi-family home for sale,949000,5,4,2184.207862,587 Van Siclen Ave,"Brooklyn, NY 11207"
"Brokered by NEUHAUS REALTY, INC.",Condo for sale,420000,2,1,840,1286 Rockland Ave Unit 2HH,"Staten Island, NY 10314"
Brokered by Jamie & Connie Real Estate Grp,Pending,1380000,6,4,2184.207862,150-39 59th Ave,"Flushing, NY 11355"
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Condo for sale,1750000,3,2,1494,203 W 81st St Apt 2A,"New York, NY 10024"
Brokered by Chous Realty Group Inc,Co-op for sale,268000,1,1,850,142-20 26 Ave Unit 5G,"Flushing, NY 11354"
Brokered by Real Broker NY LLC,House for sale,849000,3,2,2184.207862,11019 Saultell Ave,"Corona, NY 11368"
Brokered by Mega Homes Realty Inc,Multi-family home for sale,1095000,3,2,2184.207862,31-36 48th St,"Astoria, NY 11103"
Brokered by Corcoran West Side,Condo for sale,4295000,3,2,2615,426 W 58th St Ph 3,"New York, NY 10019"
Brokered by Premier South Shore Realty LLC,Multi-family home for sale,720000,3,2,2184.207862,126-15 103rd Ave,"Richmond Hill, NY 11418"
Brokered by Rubirosa International Realty,Multi-family home for sale,1900000,3,2.373860858,3500,1838 Victor St,"Bronx, NY 10462"
Brokered by Fave Realty Inc,House for sale,729999,3,2,1056,120-15 145th St,"Jamaica, NY 11436"
Brokered by Douglas Elliman - 1995 Broadway,Co-op for sale,425000,3,1,2184.207862,207 W 98th St Apt 1AA,"New York, NY 10025"
Brokered by Century 21 Realty First,House for sale,848000,3,3,1080,1645 71st St,"Brooklyn, NY 11204"
Brokered by Douglas Elliman - 325 Court,Co-op for sale,213000,3,1,430,345 Webster Ave Apt 3M,"Brooklyn, NY 11230"
Brokered by Bellmarc,Multi-family home for sale,795000,3,2,1725,1051 Herkimer St,"Brooklyn, NY 11233"
Brokered by Arash Real Estate & Mgmt,Pending,749000,3,1,2184.207862,7 Van Nostrand Ct,"Little Neck, NY 11362"
"Brokered by Nest Seekers International, Midtown",Condo for sale,1350000,2,1,2184.207862,659 Baltic St Unit Ph,"Brooklyn, NY 11217"
Brokered by Magic Of Great Neck Realty Inc,Co-op for sale,649000,2,2,1500,27010 Grand Central Pkwy Apt 25K,"Floral Park, NY 11005"
Brokered by Keller Williams Rlty Landmark,Co-op for sale,439000,2,1,900,13-56 Bell Blvd Unit 2,"Bayside, NY 11360"
Brokered by Douglas Elliman - Roslyn,Multi-family home for sale,1699000,5,5,2184.207862,42-11 Astoria Blvd N,"Astoria, NY 11105"
"Brokered by Nest Seekers International, Midtown",Condo for sale,2375000,2,2,986,3 Court Sq W Ph 202,"Queens, NY 11101"
Brokered by DNLS Real Estate Mgmt LLC,Co-op for sale,349999,1,1,2184.207862,97-37 63rd Rd Unit 11F,"Rego Park, NY 11374"
Brokered by Prime Homes Realty,House for sale,425000,2,1,2184.207862,117-23 142nd St,"Jamaica, NY 11436"
Brokered by CONTINENT REALTY LLC,House for sale,1650000,3,4,2272,132 Oxford St,"Brooklyn, NY 11235"
Brokered by COMPASS,Pending,1225000,4,2,2184.207862,34-47 80th St Unit 31,"Queens, NY 11372"
Brokered by RE/MAX Team,House for sale,699000,3,2.373860858,2184.207862,10557 Avenue K,"Brooklyn, NY 11236"
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,1150000,1,1,984,40 Remsen St Apt 4,"Brooklyn, NY 11201"
Brokered by RE MAX Edge,House for sale,2399000,5,5,2184.207862,208 Mayfair Dr N,"Brooklyn, NY 11234"
Brokered by RE MAX Distinguished Homes & Properties,Multi-family home for sale,989000,8,5,3252,855 E 223rd St,"Bronx, NY 10466"
Brokered by Lombardo Homes & Estates,Co-op for sale,318888,1,1,875,99-25 60th Ave Unit 6G,"Corona, NY 11368"
Brokered by Charles H. Greenthal Property,Co-op for sale,799000,2,2,1549,27010 Grand Central Pkwy Apt 24K,"Floral Park, NY 11005"
Brokered by RE MAX Elite,Co-op for sale,489000,2,1,950,9201 Shore Rd Apt D509,"Brooklyn, NY 11209"
Brokered by Dorsa Group Realty,Co-op for sale,398000,2,1,900,181 73rd St Apt 457,"Brooklyn, NY 11209"
Brokered by Grand Realty Advisors,House for sale,1190000,3,2,1088,186 Mackenzie St,"Brooklyn, NY 11235"
Brokered by Avenues - Headquarters,Townhouse for sale,795000,5,2,2184.207862,1065 Hegeman Ave,"Brooklyn, NY 11208"
Brokered by Douglas Elliman - Franklin Square,Multi-family home for sale,750000,3,4,2184.207862,4701 Beverley Rd,"Brooklyn, NY 11203"
Brokered by Prospes Real Estate Corp,Condo for sale,899999,3,3,1750,148-09 Northern Blvd Unit 5G,"Flushing, NY 11354"
Brokered by Avenues - Headquarters,Townhouse for sale,795000,5,2,2184.207862,1065 Hegeman Ave,"Brooklyn, NY 11208"
Brokered by Douglas Elliman - Franklin Square,Multi-family home for sale,750000,3,4,2184.207862,4701 Beverley Rd,"Brooklyn, NY 11203"
Brokered by Prospes Real Estate Corp,Condo for sale,899999,3,3,1750,148-09 Northern Blvd Unit 5G,"Flushing, NY 11354"
Brokered by COMPASS,Condo for sale,1325000,3,2,1597,9511 Shore Rd Apt 503,"Brooklyn, NY 11209"
Brokered by Corcoran Brooklyn Heights,Townhouse for sale,595000,1,2,846,943 Saint Marks Ave Apt 1A,"Brooklyn, NY 11213"
Brokered by NEUHAUS REALTY INC.,Multi-family home for sale,10700000,42,43,27152,646-662 Port Richmond Ave,"Staten Island, NY 10302"
Brokered by Keller Williams Realty Central Monmouth,Condo for sale,330000,1,1,726,215 Hart Blvd Apt 2B,"Staten Island, NY 10301"
Brokered by COMPASS,Condo for sale,2998000,3,3,1763,46-30 Center Blvd Ph 4,"Queens, NY 11109"
Brokered by Keller Williams Realty Liberty,Co-op for sale,425000,2,1,2184.207862,86 Beaver St Apt 2J,"Brooklyn, NY 11206"
Brokered by Julia B. Fee Sotheby's International Realty,Co-op for sale,345000,2,1,1000,2711 Henry Hudson Pkwy Apt 5G,"Bronx, NY 10463"
NoBroker,Condo for sale,999000,2,2,1187,133-38 Sanford Ave Unit 16D,"Flushing, NY 11355"
Brokered by Soverign Homes Realty Inc,House for sale,450000,3,2.373860858,2184.207862,125-15 Defoe St,"Queens, NY 11413"
Brokered by R Jaundoo Realty Llc,Co-op for sale,135000,2,1,750,950 Hoe Ave Apt 4C,"Bronx, NY 10459"
Brokered by Vylla Home,Condo for sale,261250,2,1,857,1017 Faile St Unit 1017B,"Bronx, NY 10459"
Brokered by City Realty Group,Condo for sale,728000,3,2,1450,41-38 66th St Unit 5B,"Woodside, NY 11377"
Brokered by Berkshire Hathaway,Pending,199000,3,2,1100,1259 Grant Ave Apt 5H,"Bronx, NY 10456"
Brokered by Keller Williams Realty NYC Grp,Multi-family home for sale,3200000,3,2.373860858,3735,2117 5th Ave,"New York, NY 10035"
Brokered by COMPASS,Condo for sale,1950000,3,3,1300,300 E 85th St Unit 1103/1104,"Manhattan, NY 10028"
"Brokered by Listwithfreedom.Com, Inc.",Co-op for sale,600000,2,2,900,736 W 186th St Apt 7G,"New York, NY 10033"
Brokered by Keller Williams Realty NYC Grp,Multi-family home for sale,3200000,3,2.373860858,3735,2117 5th Ave,"New York, NY 10035"
Brokered by HIGH CLASS REALTY SB LLC.,Condo for sale,569000,1,1,739,390 Kings Hwy Apt 5D,"Brooklyn, NY 11223"
Brokered by COMPASS,Co-op for sale,749000,1,1,2184.207862,57 Thompson St Apt 2B,"Manhattan, NY 10012"
Brokered by EXIT REALTY FIRST CHOICE,House for sale,2488000,4,2.373860858,3850,232 Beaumont St,"Brooklyn, NY 11235"
Brokered by E Realty International Corp,Multi-family home for sale,1138000,5,3,1026,1520 63rd St,"Brooklyn, NY 11219"
Brokered by City Homes Realty Group Llc,Multi-family home for sale,1359000,11,6,2240,1353 Putnam Ave,"Brooklyn, NY 11221"
Brokered by COMPASS,Multi-family home for sale,3720000,8,8,5500,29 Essex St,"Manhattan, NY 10002"
Brokered by EXIT REALTY ACHIEVE,Multi-family home for sale,974998,7,2,2184.207862,759 Glenmore Ave,"Brooklyn, NY 11208"
Brokered by COMPASS,Co-op for sale,300000,3,1,600,599 E 7th St Apt 4G,"Brooklyn, NY 11218"
Brokered by Getmore Realty Inc,House for sale,729000,3,3,2184.207862,110-36 199th St,"Saint Albans, NY 11412"
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,750000,2,2,2184.207862,575 Park Ave # 1508,"New York, NY 10065"
Brokered by DiTommaso Real Estate,House for sale,599000,3,2,1120,45 Bogota St,"Staten Island, NY 10314"
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,11950000,6,5,5336,27 E 73rd St,"New York, NY 10021"
Brokered by Corcoran West Side,Co-op for sale,825000,1,2,1100,180 E End Ave Apt 18H,"New York, NY 10128"
Brokered by Soverign Homes Realty Inc,House for sale,800000,3,2.373860858,2184.207862,742 Lexington Ave,"Brooklyn, NY 11221"
Brokered by Brown Harris Stevens,Co-op for sale,289000,3,1,2184.207862,36 Dahill Rd Apt 1L,"Brooklyn, NY 11218"
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,4750000,4,4,4100,116 W 14th St Fl 4,"New York, NY 10011"
Brokered by Douglas Elliman  -111 Fifth Ave,Co-op for sale,899999,2,1,2184.207862,224 E 11th St Apt 22,"New York, NY 10003"
Brokered by Hauseit LLC - Hauseit LLC,Townhouse for sale,868000,2,2,1152,58-36 79th St,"Middle Village, NY 11379"
Brokered by COMPASS,Condo for sale,3995000,3,3,1637,450 W 17th St Apt 1709,"Manhattan, NY 10011"
Brokered by EXP COMMERCIAL LLC,House for sale,1500000,3,2,1240,243 Bay 13 St,"Brooklyn, NY 11214"
Brokered by SOUTHSIDE REALTY GROUP LLC,House for sale,625000,4,2,2184.207862,1797 Troy Ave,"Brooklyn, NY 11234"
Brokered by COMPASS,Pending,749000,1,1,2184.207862,88 Charles St Apt 3D,"Manhattan, NY 10014"
Brokered by Exp Realty,House for sale,520000,3,2.373860858,1705,503 E 182nd St,"Bronx, NY 10457"
Brokered by EXP Realty - HAUPPAUGE,Multi-family home for sale,749900,5,2,1400,159 Montauk Ave,"Brooklyn, NY 11208"
Brokered by RE MAX Distinguished Homes & Properties,Multi-family home for sale,799000,6,4,2310,669 E 237th St,"Bronx, NY 10466"
Brokered by Charles H. Greenthal Property,Co-op for sale,959000,3,4,1993,27110 Grand Central Pkwy Apt 11V,"Floral Park, NY 11005"
Brokered by Mitra Hakimi Realty Group LLC,Multi-family home for sale,888000,5,3,2980,228 E 89th St,"East Flatbush, NY 11203"
"Brokered by Prime Time Real Estate, Inc.",House for sale,725000,2,2,988,51 Bedford Ave,"Staten Island, NY 10306"
Brokered by Brown Harris Stevens - 445 Park Avenue,Condop for sale,1065000,2,2,2184.207862,215 E 96th St Unit 25C,"Manhattan, NY 10128"
Brokered by Douglas Elliman - 575 Madison Ave,Townhouse for sale,19995000,7,6,8200,14 E 81st St,"New York, NY 10028"
Brokered by Keller Williams NYC,Condo for sale,744000,2,1,890,32-86 33rd St Unit D7,"Queens, NY 11106"
Brokered by COMPASS,Pending,675000,3,0,2780,41 Warren St Unit Subc,"Manhattan, NY 10007"
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,4595000,4,4,3052,619 E 6th St Unit 1,"New York, NY 10009"
Brokered by 5 Boro Realty Corp,Co-op for sale,475000,1,1,2184.207862,213 Eastern Pkwy Apt 2,"Brooklyn, NY 11238"
Brokered by Progress Realty Inc.,Co-op for sale,189000,2,1,800,756 Brady Ave Apt 307,"Bronx, NY 10462"
Brokered by First Class Realty Enterprises,House for sale,998888,4,3,2184.207862,115-04 144th St,"Jamaica, NY 11436"
Brokered by COMPASS,Pending,675000,3,0,2780,41 Warren St Unit Subc,"Manhattan, NY 10007"
Brokered by COMPASS,Pending,4500000,1,2.373860858,5400,129 Russell St Unit Commercial,"Brooklyn, NY 11222"
Brokered by Reserve,Co-op for sale,32000000,4,6,7500,383 W Broadway,"New York, NY 10012"
Brokered by Exp Realty,Multi-family home for sale,3250000,6,4,3059,68 Clifton Pl,"Brooklyn, NY 11238"
Brokered by Berkshire Hathaway HomeServices Cangiano Estates,Multi-family home for sale,769000,7,2,2100,222 Gordon St,"Staten Island, NY 10304"
Brokered by Exp Realty,House for sale,648998,3,2,1296,1361 Waring Ave,"Bronx, NY 10469"
Brokered by TOP NEST INC,House for sale,1699900,7,5,2418,186 Covert St,"Brooklyn, NY 11207"
Brokered by Corcoran Brooklyn Heights,Pending,3250000,8,5,2184.207862,1123 Albemarle Rd,"Brooklyn, NY 11218"
Brokered by Douglas Elliman - Bayside,Co-op for sale,395250,1,1,650,31-85 Crescent St Unit 410,"Astoria, NY 11106"
Brokered by Heisman Realty LLC,House for sale,539000,3,2,972,84 Nautilus St,"Staten Island, NY 10305"
Brokered by Daniel Gale of Brooklyn LLC,Townhouse for sale,1348000,5,2,2184.207862,46-03 104 St,"Queens, NY 11368"
Brokered by Canaan Realty International,Condo for sale,1450000,3,3,1855,40-26 College Point Blvd Unit 18F,"Flushing, NY 11354"
Brokered by EXP Realty,Co-op for sale,465000,2,1,2184.207862,37-50 87th St Unit 6B,"Jackson Heights, NY 11372"
Brokered by Keller Williams Legendary,Condo for sale,6500000,2,2,1639,1600 Broadway Ph 4C,"New York, NY 10019"
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Co-op for sale,297000,1,1,800,102-36 64 Ave Unit 4A,"Forest Hills, NY 11375"
Brokered by Miller & Miller Real Estate,Co-op for sale,244900,1,1,518,260-46 73rd Ave Unit A1,"Glen Oaks, NY 11004"
Brokered by E Realty International Corp,House for sale,2480000,4,4,5150,149-37 9th Ave,"Whitestone, NY 11357"
Brokered by Coldwell Banker Kueber Realty,Co-op for sale,230000,1,1,2184.207862,108-50 62 Dr Unit 3K,"Forest Hills, NY 11375"
Brokered by Corcoran Brooklyn Heights,Condo for sale,780000,2,2,825,618 Avenue H # 5E,"Brooklyn, NY 11230"
Brokered by Corcoran Chelsea/Flatiron,Townhouse for sale,4875000,3,3,2184.207862,130 E 38th St,"New York, NY 10016"
Brokered by COMPASS,Co-op for sale,539999,3,2,2184.207862,33-04 93rd St Unit 6S,"Jackson Heights, NY 11372"
Brokered by COMPASS,Co-op for sale,750000,2,2,1193,2621 Palisade Ave Apt 16A,"Bronx, NY 10463"
Brokered by The Agency,Condo for sale,2249000,2,3,2321,211 Madison Ave Unit 22A,"New York, NY 10016"
Brokered by Tapestry Real Estate of Queens,Co-op for sale,270000,2,1,700,21-78 35 St Unit 5F,"Astoria, NY 11101"
Brokered by Sotheby's International Realty - Downtown Manhattan,Pending,399000,2,1,2184.207862,301 E 63rd St Apt 4B,"New York, NY 10065"
Brokered by COMPASS,Co-op for sale,1950000,2,2,2184.207862,56 Jane St Unit 4EF,"Manhattan, NY 10014"
Brokered by Macaluso Realty,Co-op for sale,240000,2,1,2184.207862,83-85 Woodhaven Blvd Unit 2S,"Woodhaven, NY 11421"
Brokered by Century Homes Realty Group LLC,Condo for sale,628000,3,2,900,82-25 Queens Blvd Unit 3D,"Elmhurst, NY 11373"
Brokered by COMPASS,Co-op for sale,399000,2,1,2184.207862,34-10 94th St Unit 2D,"Jackson Heights, NY 11372"
Brokered by J Home Realty LLC,House for sale,687000,2,1,2184.207862,57 Shore Dr,"Bronx, NY 10465"
Brokered by Re/Max Edge,Townhouse for sale,588000,2,2,2000,19 Teri Ct,"Staten Island, NY 10314"
Brokered by Citywide Homes Llc,Multi-family home for sale,825000,5,3,2184.207862,1221 Manor Ave,"Bronx, NY 10472"
Brokered by Macaluso Realty,Co-op for sale,240000,2,1,2184.207862,83-85 Woodhaven Blvd Unit 2S,"Woodhaven, NY 11421"
Brokered by Han Tang Realty Inc.,Condo for sale,285000,2,1,835,1527 Metropolitan Ave Apt 4G,"Bronx, NY 10462"
Brokered by COMPASS,Condo for sale,595000,3,1,915,609 Myrtle Ave Unit CF1,"Brooklyn, NY 11205"
Brokered by Continental Real Estate Group,Condo for sale,899000,2,2,1697,90 Bay Street Lndg Apt 5I,"Staten Island, NY 10301"
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,2995000,5,2,4900,234 W 138th St,"New York, NY 10030"
Brokered by E Realty International Corp,House for sale,1180000,4,3,2184.207862,73-27 193rd St,"Fresh Meadows, NY 11366"
Brokered by Century 21 Zaloom Realty,Contingent,799900,4,4,1816,71 Dewey Ave,"Staten Island, NY 10308"
"Brokered by Virginia Rallis, Realty LLC",Co-op for sale,130000,1,1,2184.207862,5 Fordham Hill Oval Apt 11H,"Bronx, NY 10468"
Brokered by Astor Brokerage Ltd,House for sale,849999,3,2,2184.207862,147-20 76th Rd,"Flushing, NY 11367"
Brokered by Compass,Co-op for sale,185000,1,1,850,3123 Bailey Ave Unit A,"Bronx, NY 10463"
NoBroker,House for sale,1275000,4,2.373860858,2184.207862,87-66 257th St,"Floral Park, NY 11001"
"Brokered by Robert Defalco Realty, Inc.",Multi-family home for sale,2798000,5,3,3400,1603 11th Ave,"Brooklyn, NY 11215"
Brokered by Getmore Realty Inc,Co-op for sale,359000,2,1,950,141-09 28 Ave Unit 1D,"Flushing, NY 11354"
Brokered by COMPASS,Pending,435000,1,1,2184.207862,155 Hicks St Unit 5A,"Brooklyn, NY 11201"
